label,house,file,py_file,draw
425,House.b18,wwhp.dck,zpy_wwhp.dck,old
426,House.b18,wwhp.dck,zpy_wwhp.dck,old
427,House.b18,wwhp.dck,zpy_wwhp.dck,old
428,House.b18,wwhp.dck,zpy_wwhp.dck,old
429,House.b18,wwhp.dck,zpy_wwhp.dck,old
430,House.b18,wwhp.dck,zpy_wwhp.dck,old
431,House.b18,wwhp.dck,zpy_wwhp.dck,old
432,House.b18,wwhp.dck,zpy_wwhp.dck,old
433,House.b18,wwhp.dck,zpy_wwhp.dck,old
434,House.b18,wwhp.dck,zpy_wwhp.dck,old
435,House.b18,wwhp.dck,zpy_wwhp.dck,old
436,House.b18,wwhp.dck,zpy_wwhp.dck,old
437,House.b18,wwhp.dck,zpy_wwhp.dck,old
438,House.b18,wwhp.dck,zpy_wwhp.dck,old
439,House.b18,wwhp.dck,zpy_wwhp.dck,old
440,House.b18,wwhp.dck,zpy_wwhp.dck,old
441,House.b18,wwhp.dck,zpy_wwhp.dck,old
442,House.b18,wwhp.dck,zpy_wwhp.dck,old
443,House.b18,wwhp.dck,zpy_wwhp.dck,old
444,House.b18,wwhp.dck,zpy_wwhp.dck,old
445,House.b18,wwhp.dck,zpy_wwhp.dck,old
446,House.b18,wwhp.dck,zpy_wwhp.dck,old
447,House.b18,wwhp.dck,zpy_wwhp.dck,old
448,House.b18,wwhp.dck,zpy_wwhp.dck,old
449,House.b18,wwhp.dck,zpy_wwhp.dck,old
450,House.b18,wwhp.dck,zpy_wwhp.dck,old
451,House.b18,wwhp.dck,zpy_wwhp.dck,old
452,House.b18,wwhp.dck,zpy_wwhp.dck,old
453,House.b18,wwhp.dck,zpy_wwhp.dck,old
454,House.b18,wwhp.dck,zpy_wwhp.dck,old
455,House.b18,wwhp.dck,zpy_wwhp.dck,old
456,House.b18,wwhp.dck,zpy_wwhp.dck,old
457,House.b18,wwhp.dck,zpy_wwhp.dck,old
458,House.b18,wwhp.dck,zpy_wwhp.dck,old
459,House.b18,wwhp.dck,zpy_wwhp.dck,old
460,House.b18,wwhp.dck,zpy_wwhp.dck,old
461,House.b18,wwhp.dck,zpy_wwhp.dck,old
462,House.b18,wwhp.dck,zpy_wwhp.dck,old
463,House.b18,wwhp.dck,zpy_wwhp.dck,old
464,House.b18,wwhp.dck,zpy_wwhp.dck,old
465,House.b18,wwhp.dck,zpy_wwhp.dck,old
466,House.b18,wwhp.dck,zpy_wwhp.dck,old
467,House.b18,wwhp.dck,zpy_wwhp.dck,old
