label,el_bill_1,el_bill_0.5,el_bill_0.1,el_bill_0,gas_bill,el_em,gas_em,Q2grid,Qfrom_grid,Qpv,Qload,Q4sh,Q4dhw,Qaux,peak_load,peak_export,el_bill_jan_1,el_bill_jan_0.5,el_bill_jan_0.1,el_bill_jan_0,gas_bill_jan,el_em_jan,gas_em_jan,spf_jan,opp_import,opp_export,import_in,export_in,COP_min,COP_median,COP_max,unmet,cost
114,2533.2,2533.2,2533.2,2533.2,0,2560.103983,0,0,6332.251373,0,6332.209387,2454.616817,674.6812789,451.2,5.356960488,0,54.4,54.4,54.4,54.4,0,55.31503887,0,2.450910964,2.653659941,0.080920356,88,8760,2.363877618,2.363877618,4.719395838,1351.2,9050
115,1990.8,1990.8,1990.8,1990.8,0,2022.894675,0,0,4976.353667,0,4976.270624,1235.628977,652.9303567,336,5.356960488,0,35.2,35.2,35.2,35.2,0,36.08591937,0,2.503277605,2.464003888,0.080920356,88,8760,2.363877618,2.390459993,4.982991784,1077.4,12912.5
116,1929.6,2161.78,2347.43,2393.96,0,2390.111311,0,987.2433562,5811.508848,2073.093891,6415.999541,2424.119352,725.5188989,514.65,5.356960488,1.480289824,48,48.94,49.48,49.88,0,50.49857673,0,2.447869246,2.518413064,-1.274977967,71,8743,2.363877618,2.363877618,4.947791644,1336.5,11850
117,2427.2,2452.18,2472.39,2477.49,0,2519.448742,0,106.8402878,6174.767388,516.9520678,6459.311819,2454.053061,716.247468,537.3,5.356960488,0.299479106,51.2,51.27,51.27,51.67,0,52.64157313,0,2.464853373,2.6328396,-0.254060393,82,8755,2.169760959,2.363877618,5.104984899,1349.7,8250
118,2308.8,2308.8,2308.8,2308.8,0,2369.549275,0,0,5770.801638,1035.656599,6441.670611,2442.741669,732.8676507,514.35,5.356960488,0,50.8,50.8,50.8,50.8,0,51.95574647,0,2.462382583,2.510593514,0,88,8760,2.348695464,2.363877618,5.48792281,1338,17250
119,1792.8,1792.8,1792.8,1792.8,0,1854.37714,0,0,4481.90866,1036.175507,5180.753631,1256.75355,695.5887896,476.7,5.356960488,0,34.4,34.4,34.4,34.4,0,35.25636618,0,2.501931792,2.245455014,0,88,8760,2.321110732,2.363877618,5.239524752,1067.3,19175
120,1246,1568.89,1826.99,1891.78,0,1861.571855,0,1373.902488,4488.431518,2592.159907,5110.516969,1255.695036,652.3606415,450.75,5.356960488,1.882247105,32,33.41,34.35,34.82,0,34.9590405,0,2.498256204,2.267390739,-1.618965875,66,8738,2.363877618,2.377291373,5.437858248,1076.8,13175
121,2037.6,2037.6,2037.6,2037.6,0,2067.483775,0,0,5093.391767,0,5093.345524,1266.370388,631.5638445,443.7,5.356960488,0,35.2,35.2,35.2,35.2,0,36.10559838,0,2.480920908,2.465656564,0.080920356,88,8760,2.363877618,2.363877618,4.726447415,1070.7,9050
122,1782.4,1869.82,1939.45,1957.24,0,1992.081761,0,371.4850269,4827.030093,1036.247238,5246.31408,1270.876627,703.0761627,520.65,5.356960488,0.693136725,32.4,32.87,32.94,33.34,0,33.8298944,0,2.477515609,2.405383487,-0.590847119,76,8748,2.363877618,2.363877618,5.781975868,1069.5,9450
123,2030.8,2060.88,2084.85,2090.96,0,2136.808387,0,127.7512888,5204.619823,2072.764975,6397.635171,2449.088111,778.3357689,418.5,5.356960488,1.343941072,49.6,49.6,49.6,49.6,0,50.39797772,0,2.468039935,2.458436307,-1.221317023,85,8757,2.363877618,2.363877618,5.573893512,1349.3,19912.5
